sku,description,category,unit,unit_price,taxable,roll_length_ft,style,role
WP-LP,4x4x8 pressure-treated pine line post,post,each,14.98,yes,,wood-privacy-6,linePost
WP-TP,4x4x10 pressure-treated pine corner/end post,post,each,19.48,yes,,wood-privacy-6,terminalPost
WP-GP,6x6x10 pressure-treated pine gate post,post,each,42.00,yes,,wood-privacy-6,gatePost
WP-RAIL,2x4x8 pressure-treated rail,rail,each,6.98,yes,,wood-privacy-6,rail
WP-PKT,1x6x6 dog-ear pressure-treated picket,picket,each,2.68,yes,,wood-privacy-6,picket
WP-GATE-S,4 ft wood privacy walk gate (single),gate,each,189.00,yes,,wood-privacy-6,gateSingle
WP-GATE-D,10 ft wood privacy drive gate (double),gate,each,449.00,yes,,wood-privacy-6,gateDouble
HW-GATE-WOOD,Gate hinge and latch kit for wood gates,hardware,each,34.98,yes,,wood-privacy-6,gateHardware
CL-LP,1-5/8 in x 6 ft galvanized line post,post,each,15.48,yes,,chain-link-4,linePost
CL-TP,2-3/8 in x 6 ft galvanized terminal post,post,each,24.98,yes,,chain-link-4,terminalPost
CL-FAB,4 ft x 50 ft 11.5 ga galvanized chain-link fabric,fabric,roll,119.00,yes,50,chain-link-4,fabric
CL-TOPRAIL,1-3/8 in galvanized top rail,rail,ft,1.35,yes,,chain-link-4,topRail
CL-GATE-S,4 ft chain-link walk gate (single),gate,each,109.00,yes,,chain-link-4,gateSingle
CL-GATE-D,10 ft chain-link drive gate (double),gate,each,289.00,yes,,chain-link-4,gateDouble
HW-GATE-CL,Chain-link gate hinge and fork latch kit,hardware,each,24.98,yes,,chain-link-4,gateHardware
VN-LP,5x5x8 white vinyl line post,post,each,32.98,yes,,vinyl-6,linePost
VN-TP,5x5x8 white vinyl corner/end post,post,each,36.98,yes,,vinyl-6,terminalPost
VN-PANEL,6 ft x 8 ft white vinyl privacy panel,panel,each,129.00,yes,,vinyl-6,panel
VN-CAP,5x5 white vinyl post cap,cap,each,4.48,yes,,vinyl-6,cap
VN-GATE-S,4 ft white vinyl privacy walk gate (single),gate,each,269.00,yes,,vinyl-6,gateSingle
VN-GATE-D,10 ft white vinyl privacy drive gate (double),gate,each,629.00,yes,,vinyl-6,gateDouble
HW-GATE-VN,Vinyl gate hinge and latch kit,hardware,each,44.98,yes,,vinyl-6,gateHardware
AL-LP,2x2x6 black aluminum line post,post,each,28.98,yes,,aluminum-4,linePost
AL-TP,2x2x6 black aluminum corner/end post,post,each,31.98,yes,,aluminum-4,terminalPost
AL-PANEL,4 ft x 6 ft black aluminum 3-rail panel,panel,each,109.00,yes,,aluminum-4,panel
AL-CAP,2x2 black aluminum post cap,cap,each,2.98,yes,,aluminum-4,cap
AL-GATE-S,4 ft black aluminum walk gate (single),gate,each,239.00,yes,,aluminum-4,gateSingle
AL-GATE-D,10 ft black aluminum drive gate (double),gate,each,489.00,yes,,aluminum-4,gateDouble
HW-GATE-AL,Aluminum gate hinge and latch kit,hardware,each,49.98,yes,,aluminum-4,gateHardware
CONC-50,50 lb fast-setting concrete mix,concrete,bag,6.48,yes,,wood-privacy-6,concrete
CONC-50,50 lb fast-setting concrete mix,concrete,bag,6.48,yes,,chain-link-4,concrete
CONC-50,50 lb fast-setting concrete mix,concrete,bag,6.48,yes,,vinyl-6,concrete
CONC-50,50 lb fast-setting concrete mix,concrete,bag,6.48,yes,,aluminum-4,concrete
LAB-WOOD-FT,Install labor - wood privacy (per linear foot),labor,ft,12.00,no,,wood-privacy-6,laborPerFt
LAB-CL-FT,Install labor - chain link (per linear foot),labor,ft,9.00,no,,chain-link-4,laborPerFt
LAB-VN-FT,Install labor - vinyl (per linear foot),labor,ft,14.00,no,,vinyl-6,laborPerFt
LAB-AL-FT,Install labor - aluminum (per linear foot),labor,ft,14.00,no,,aluminum-4,laborPerFt
LAB-GATE,Install labor - gate hang and adjust (per gate),labor,each,85.00,no,,wood-privacy-6,laborPerGate
LAB-GATE,Install labor - gate hang and adjust (per gate),labor,each,85.00,no,,chain-link-4,laborPerGate
LAB-GATE,Install labor - gate hang and adjust (per gate),labor,each,85.00,no,,vinyl-6,laborPerGate
LAB-GATE,Install labor - gate hang and adjust (per gate),labor,each,85.00,no,,aluminum-4,laborPerGate
SCREWS-5LB,5 lb box exterior deck screws (misc fasteners),hardware,each,32.98,yes,,,
